Sl. No.	Abbreviation	Brain Label
1	'REC.L'	'Left Gyrus Rectus'
2	'OLF.L'	'Left Olfactory Cortex'
3	'ORBsup.L'	'Left Supeiror frontal gyrus, orbital part'
4	'ORBsupmed.L'	'Left Superior frontal gyrus, medial orbital'
5	'ORBmid.L'	'Left Middle frontal gyrus orbital part'
6	'ORBinf.L'	'Left Inferior frontal gyrus, orbital part'
7	'SFGdor.L'	'Left Superior frontal gyrus, dorsolateral'
8	'MFG.L'	'Left Middle frontal gyrus'
9	'IFGoperc.L'	'Left Inferior frontal gyrus, opercular part'
10	'IFGtriang.L'	'Left Inferior frontal gyrus, triangular part'
11	'SFGmed.L'	'Left Superior frontal gyrus, medial'
12	'SMA.L'	'Left Supplementary motor area'
13	'PCL.L'	'Left Paracentral lobule'
14	'PreCG.L'	'Left Precentral gyrus'
15	'ROL.L'	'Left Rolandic operculum'
16	'PoCG.L'	'Left Postcentral gyrus'
17	'SPG.L'	'Left Superior parietal gyrus'
18	'IPL.L'	'Left Inferior parietal, but supramarginal and angular gyri'
19	'SMG.L'	'Left Supramarginal gyrus'
20	'ANG.L'	'Left Angular gyrus'
21	'PCUN.L'	'Left Precuneus'
22	'SOG.L'	'Left Superior occipital gyrus'
23	'MOG.L'	'Left Middle occipital gyrus'
24	'IOG.L'	'Left Inferior occipital gyrus'
25	'CAL.L'	'Left Calcarine fissure and surrounding cortex'
26	'CUN.L'	'Left Cuneus'
27	'LING.L'	'Left Lingual gyrus'
28	'FFG.L'	'Left Fusiform gyrus'
29	'HES.L'	'Left Heschl gyrus'
30	'STG.L'	'Left Superior temporal gyrus'
31	'MTG.L'	'Left Middle temporal gyrus'
32	'ITG.L'	'Left Inferior temporal gyrus'
33	'TPOsup.L'	'Left Temporal pole: superior temporal gyrus'
34	'TPOmid.L'	'Left Temporal pole: middle temporal gyrus'
35	'PHG.L'	'Left Parahippocampal gyrus'
36	'ACG.L'	'Left Anterior cingulate and paracingulate gyri'
37	'DCG.L'	'Left Median cingulate and paracingulate gyri'
38	'PCG.L'	'Left Posterior cingulate gyrus'
39	'INS.L'	'Left Insula'
40	'REC.R'	'Right Gyrus Rectus'
41	'OLF.R'	'Right Olfactory Cortex'
42	'ORBsup.R'	Right Superior frontal gyrus, orbital part'
43	'ORBsupmed.R'	'Right Superior frontal gyrus, medial orbital'
44	'ORBmid.R'	'Right Middle frontal gyrus orbital part'
45	'ORBinf.R'	'Right Inferior frontal gyrus, orbital part'
46	'SFGdor.R'	'Right Superior frontal gyrus, dorsolateral'
47	'MFG.R'	'Right Middle frontal gyrus'
48	'IFGoperc.R'	'Right Inferior frontal gyrus, opercular part'
49	'IFGtriang.R'	'Right Inferior frontal gyrus, triangular part'
50	'SFGmed.R'	'Right Superior frontal gyrus, medial'
51	'SMA.R'	'Right Supplementary motor area'
52	'PCL.R'	'Right Paracentral lobule'
53	'PreCG.R'	'Right Precentral gyrus'
54	'ROL.R'	'Right Rolandic operculum'
55	'PoCG.R'	'Right Postcentral gyrus'
56	'SPG.R'	'Right Superior parietal gyrus'
57	'IPL.R'	'Right Inferior parietal, but supramarginal and angular gyri'
58	'SMG.R'	'Right Supramarginal gyrus'
59	'ANG.R'	'Right Angular gyrus'
60	'PCUN.R'	'Right Precuneus'
61	'SOG.R'	'Right Superior occipital gyrus'
62	'MOG.R'	'Right Middle occipital gyrus'
63	'IOG.R'	'Right Inferior occipital gyrus'
64	'CAL.R'	'Right Calcarine fissure and surrounding cortex'
65	'CUN.R'	'Right Cuneus'
66	'LING.R'	'Right Lingual gyrus'
67	'FFG.R'	'Right Fusiform gyrus'
68	'HES.R'	'Right Heschl gyrus'
69	'STG.R'	'Right Superior temporal gyrus'
70	'MTG.R'	'Right Middle temporal gyrus'
71	'ITG.R'	'Right Inferior temporal gyrus'
72	'TPOsup.R'	'Right Temporal pole: superior temporal gyrus'
73	'TPOmid.R'	'Right Temporal pole: middle temporal gyrus'
74	'PHG.R'	'Right Parahippocampal gyrus'
75	'ACG.R'	'Right Anterior cingulate and paracingulate gyri'
76	'DCG.R'	'Right Median cingulate and paracingulate gyri'
77	'PCG.R'	'Right Posterior cingulate gyrus'
78	'INS.R'	'Right Insula'
