cluster;Gene;avg_diff;power;Ex1;Ex2;Ex3;Ex4;Ex5;Ex6;Ex7;Ex8
Ex1;HPCAL1;2,84;0,81;0,42;0,01;0,02;0,01;0,02;0,09;0,05;0,00
Ex1;LAMP5;3,23;0,81;0,34;0,01;0,05;0,01;0,00;0,00;0,01;0,00
Ex1;SERPINE2;3,18;0,76;0,33;0,01;0,02;0,01;0,00;0,05;0,03;0,02
Ex1;CDH9;2,03;0,76;0,12;0,04;0,01;0,01;0,02;0,06;0,02;0,00
Ex1;GNAL;2,22;0,74;0,28;0,01;0,02;0,02;0,02;0,10;0,03;0,09
Ex1;CCDC88C;2,93;0,73;0,11;0,00;0,01;0,00;0,00;0,01;0,00;0,00
Ex1;PCDH8;2,09;0,64;0,23;0,03;0,08;0,02;0,01;0,00;0,03;0,00
Ex1;PDGFD;4,44;0,59;0,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Ex1;GREB1L;2,74;0,53;0,05;0,01;0,00;0,00;0,00;0,00;0,00;0,00
Ex1;MDGA1;2,10;0,53;0,06;0,00;0,00;0,00;0,00;0,06;0,06;0,02
Ex1;JAG1;2,74;0,48;0,08;0,00;0,00;0,00;0,01;0,00;0,01;0,00
Ex1;GPR83;3,42;0,48;0,17;0,00;0,02;0,01;0,00;0,00;0,03;0,00
Ex1;NECAB2;2,46;0,43;0,10;0,00;0,00;0,05;0,00;0,01;0,06;0,09
Ex1;MN1;2,51;0,42;0,06;0,00;0,01;0,01;0,01;0,01;0,02;0,00
Ex2;COL5A2;2,82;0,93;;;;;;;;
Ex2;ADCY8;2,66;0,88;0,01;0,16;0,06;0,03;0,03;0,03;0,03;0,00
Ex2;TRHDE;2,09;0,82;0,02;0,29;0,20;0,20;0,09;0,05;0,06;0,15
Ex2;CLMN;2,09;0,80;0,01;0,20;0,07;0,01;0,01;0,02;0,03;0,00
Ex2;LAMA2;2,66;0,78;0,03;0,27;0,07;0,05;0,04;0,01;0,03;0,02
Ex2;PCED1B;2,02;0,76;0,01;0,10;0,00;0,02;0,04;0,01;0,00;0,00
Ex2;PAH;2,35;0,60;0,00;0,06;0,04;0,06;0,03;0,01;0,00;0,00
Ex2;OVOL2;2,14;0,56;0,00;0,05;0,01;0,03;0,02;0,00;0,02;0,04
Ex2;BEND4;2,49;0,47;0,01;0,16;0,04;0,01;0,03;0,01;0,03;0,00
Ex2;SYT10;2,84;0,41;0,01;0,05;0,02;0,02;0,00;0,01;0,02;0,02
Ex3;NTNG1;2,04;0,71;0,03;0,35;0,24;0,11;0,05;0,00;0,02;0,04
Ex3;VAV3;2,49;0,69;0,01;0,04;0,08;0,01;0,00;0,01;0,00;0,00
Ex3;TRPC3;3,20;0,65;0,00;0,05;0,14;0,01;0,02;0,02;0,01;0,04
Ex3;VIPR2;2,25;0,42;0,00;0,06;0,06;0,09;0,01;0,01;0,03;0,02
Ex4;TSHZ2;2,69;0,93;0,00;0,03;0,04;0,45;0,09;0,07;0,03;0,00
Ex4;GABRG1;2,84;0,70;0,01;0,01;0,03;0,28;0,04;0,03;0,08;0,02
Ex4;PLCXD3;2,07;0,70;0,02;0,09;0,09;0,28;0,14;0,04;0,01;0,00
Ex4;COL6A1;2,08;0,66;0,01;0,18;0,11;0,36;0,07;0,10;0,05;0,00
Ex4;ANXA1;2,19;0,63;0,00;0,00;0,10;0,24;0,02;0,01;0,06;0,09
Ex4;TNNT2;2,39;0,57;0,02;0,21;0,05;0,22;0,06;0,00;0,09;0,06
Ex4;NEUROD6;2,15;0,55;0,01;0,07;0,07;0,31;0,18;0,08;0,03;0,00
Ex4;CXXC4;2,08;0,54;0,01;0,13;0,10;0,29;0,11;0,06;0,03;0,00
Ex4;PLCXD2;2,28;0,50;;;;;;;;
Ex4;LYPD6B;3,76;0,46;0,00;0,00;0,00;0,06;0,00;0,00;0,00;0,00
Ex4;PCDH20;2,38;0,45;0,03;0,08;0,04;0,19;0,08;0,02;0,07;0,00
Ex4;HS3ST3B1;2,95;0,44;0,00;0,00;0,01;0,08;0,02;0,02;0,00;0,00
Ex4;PAPSS2;2,05;0,43;0,01;0,03;0,02;0,06;0,00;0,01;0,00;0,00
Ex5;TLL1;2,72;0,83;0,00;0,03;0,00;0,01;0,09;0,04;0,00;0,04
Ex5;IL1RAPL2;2,21;0,83;0,00;0,01;0,01;0,05;0,08;0,00;0,02;0,00
Ex5;ARSJ;2,63;0,67;0,00;0,03;0,01;0,02;0,16;0,09;0,02;0,02
Ex5;IFITM10;2,31;0,62;;;;;;;;
Ex5;ACOT11;2,18;0,50;0,01;0,07;0,04;0,18;0,16;0,18;0,03;0,00
Ex5;RNF182;2,92;0,48;0,01;0,01;0,00;0,00;0,10;0,02;0,00;0,02
Ex5;ABCC9;2,49;0,44;0,00;0,00;0,00;0,01;0,10;0,15;0,03;0,02
Ex5;RCSD1;2,28;0,43;0,00;0,00;0,00;0,01;0,06;0,01;0,02;0,02
Ex5;ADTRP;2,74;0,40;0,00;0,02;0,00;0,00;0,12;0,08;0,06;0,00
Ex6;SEMA3E;4,02;0,96;0,00;0,00;0,01;0,02;0,07;0,24;0,01;0,00
Ex6;HS3ST4;2,58;0,95;0,03;0,01;0,05;0,07;0,13;0,27;0,01;0,09
Ex6;DLC1;3,16;0,95;0,01;0,04;0,07;0,04;0,07;0,27;0,02;0,04
Ex6;KIAA1217;2,17;0,91;0,12;0,02;0,13;0,07;0,03;0,32;0,09;0,04
Ex6;GRIK3;2,12;0,86;0,01;0,01;0,00;0,01;0,08;0,27;0,26;0,00
Ex6;TLE4;2,19;0,85;0,07;0,05;0,09;0,11;0,07;0,38;0,02;0,04
Ex6;MCC;3,42;0,84;0,01;0,01;0,00;0,03;0,01;0,14;0,02;0,02
Ex6;BCL11B;2,61;0,81;0,04;0,00;0,02;0,00;0,02;0,29;0,10;0,09
Ex6;LUZP2;2,56;0,80;0,03;0,05;0,02;0,00;0,05;0,19;0,01;0,00
Ex6;ADAMTSL1;2,56;0,75;0,01;0,02;0,01;0,01;0,02;0,11;0,00;0,00
Ex6;ZFHX3;2,82;0,72;0,02;0,03;0,04;0,02;0,05;0,38;0,06;0,02
Ex6;SDK2;2,64;0,71;0,02;0,01;0,01;0,02;0,03;0,16;0,04;0,02
Ex6;GRM4;2,44;0,68;0,00;0,04;0,07;0,05;0,06;0,23;0,01;0,00
Ex6;LRRC3B;2,28;0,68;0,01;0,02;0,00;0,01;0,02;0,07;0,02;0,04
Ex6;PCSK5;2,81;0,66;0,00;0,00;0,00;0,00;0,02;0,12;0,01;0,06
Ex6;ZNF385D;3,43;0,66;0,03;0,01;0,02;0,06;0,04;0,17;0,06;0,09
Ex6;VAV2;2,85;0,66;0,00;0,00;0,00;0,01;0,03;0,12;0,01;0,00
Ex6;ATP2C2;2,66;0,65;0,01;0,01;0,00;0,02;0,01;0,14;0,03;0,00
Ex6;GHR;2,10;0,64;0,02;0,01;0,01;0,02;0,05;0,07;0,01;0,00
Ex6;RYR3;2,54;0,63;0,05;0,08;0,04;0,05;0,03;0,35;0,07;0,00
Ex6;CNTNAP3;2,60;0,62;0,01;0,08;0,01;0,01;0,05;0,16;0,05;0,02
Ex6;ANKRD18A;2,88;0,62;0,01;0,08;0,01;0,03;0,06;0,27;0,07;0,04
Ex6;SULF1;4,15;0,58;0,00;0,00;0,02;0,00;0,02;0,19;0,00;0,04
Ex6;SEMA5A;2,38;0,53;0,01;0,00;0,02;0,05;0,02;0,13;0,07;0,02
Ex6;FEZF2;2,06;0,52;0,00;0,00;0,00;0,01;0,16;0,26;0,03;0,02
Ex6;ITGA8;4,39;0,52;0,00;0,00;0,00;0,01;0,02;0,19;0,01;0,00
Ex6;ABO;2,59;0,51;0,01;0,00;0,00;0,00;0,01;0,05;0,01;0,00
Ex6;DCHS2;2,19;0,50;0,01;0,00;0,00;0,00;0,03;0,09;0,06;0,19
Ex6;RBM20;2,38;0,48;;;;;;;;
Ex6;SYT6;3,42;0,44;0,00;0,00;0,01;0,05;0,02;0,17;0,01;0,00
Ex6;HCRTR2;2,07;0,44;0,00;0,00;0,01;0,00;0,00;0,03;0,00;0,00
Ex6;TSPAN18;3,57;0,44;0,01;0,00;0,00;0,01;0,00;0,09;0,00;0,02
Ex6;RGS9;2,99;0,42;0,01;0,00;0,00;0,00;0,01;0,04;0,01;0,02
Ex6;PDE9A;3,38;0,41;0,00;0,01;0,01;0,01;0,01;0,09;0,03;0,06
Ex7;CHST8;2,25;0,58;0,02;0,00;0,00;0,01;0,02;0,01;0,02;0,00
Ex7;SNTG2;3,12;0,44;0,00;0,02;0,00;0,01;0,01;0,05;0,04;0,00
Ex7;PRRX1;2,01;0,44;0,00;0,05;0,01;0,01;0,05;0,10;0,11;0,00
Ex8;POSTN;6,11;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,64
Ex8;NTNG2;4,48;0,99;0,02;0,02;0,02;0,01;0,08;0,00;0,05;0,83
Ex8;SMYD1;6,28;0,95;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,34
Ex8;RGS12;2,60;0,93;0,29;0,03;0,04;0,03;0,01;0,03;0,10;0,85
Ex8;NR4A2;3,23;0,92;0,03;0,01;0,00;0,03;0,04;0,09;0,01;0,57
Ex8;HPSE2;3,47;0,92;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,13
Ex8;OLFML2B;4,68;0,92;0,00;0,00;0,00;0,00;0,01;0,04;0,01;0,51
Ex8;MCTP2;4,52;0,90;0,00;0,00;0,00;0,00;0,00;0,12;0,00;0,38
Ex8;RASGEF1C;2,64;0,90;0,01;0,01;0,01;0,03;0,03;0,05;0,00;0,15
Ex8;GALNT14;2,73;0,90;0,01;0,02;0,00;0,02;0,03;0,01;0,03;0,06
Ex8;FRAS1;2,48;0,89;0,06;0,14;0,08;0,08;0,13;0,15;0,13;0,70
Ex8;STK32B;4,75;0,89;0,00;0,00;0,00;0,01;0,00;0,01;0,00;0,11
Ex8;ZNF804B;2,48;0,88;0,01;0,01;0,02;0,02;0,01;0,00;0,07;0,06
Ex8;CRTAC1;2,73;0,88;0,03;0,01;0,03;0,02;0,03;0,05;0,03;0,21
Ex8;SPOCK3;2,29;0,88;0,01;0,00;0,02;0,00;0,02;0,01;0,00;0,06
Ex8;MGAT5;2,18;0,87;0,08;0,03;0,12;0,14;0,05;0,06;0,09;0,23
Ex8;SYNPR;2,55;0,87;0,04;0,16;0,15;0,14;0,02;0,07;0,02;0,66
Ex8;KLHL1;2,42;0,87;0,01;0,00;0,00;0,01;0,00;0,01;0,00;0,11
Ex8;RNF152;2,68;0,86;0,00;0,01;0,02;0,00;0,03;0,10;0,01;0,17
Ex8;GFRA1;3,17;0,85;0,01;0,02;0,06;0,01;0,01;0,02;0,01;0,23
Ex8;CTNNA3;2,85;0,84;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,34
Ex8;ITGB8;2,28;0,83;0,14;0,02;0,03;0,05;0,01;0,02;0,16;0,57
Ex8;PDLIM5;3,09;0,83;0,03;0,01;0,02;0,00;0,01;0,00;0,01;0,23
Ex8;THEMIS;2,41;0,83;0,00;0,00;0,02;0,02;0,08;0,03;0,23;0,32
