cluster;Gene;avg_diff;power;In1;In2;In3;In4;In5;In6;In7;In8
In1;CNR1;3,04;0,77;0,47;0,49;0,07;0,09;0,02;0,00;0,02;0,01
In1;SDK2;3,28;0,50;0,28;0,13;0,01;0,10;0,00;0,02;0,00;0,01
In2;PPP1R1C;3,87;0,78;0,06;0,16;0,07;0,00;0,02;0,00;0,03;0,01
In2;SLC7A11;4,25;0,66;0,01;0,25;0,00;0,00;0,00;0,00;0,05;0,00
In2;CCDC141;3,01;0,66;0,03;0,09;0,04;0,00;0,00;0,00;0,00;0,01
In2;GPR149;3,19;0,48;0,03;0,04;0,13;0,00;0,00;0,04;0,00;0,01
In3;SHISA8;3,07;0,90;;;;;;;;
In3;IGFBP5;3,19;0,89;0,03;0,40;0,62;0,05;0,06;0,00;0,00;0,00
In3;RYR3;3,02;0,89;0,06;0,13;0,45;0,01;0,02;0,00;0,02;0,07
In3;EXPH5;3,98;0,72;0,01;0,00;0,30;0,00;0,00;0,00;0,02;0,00
In3;SLC12A7;3,46;0,72;0,03;0,02;0,11;0,00;0,00;0,00;0,00;0,00
In3;KMO;4,98;0,65;0,08;0,15;0,10;0,01;0,00;0,00;0,00;0,00
In3;PREX1;3,26;0,63;0,01;0,00;0,17;0,00;0,03;0,03;0,05;0,03
In3;CRIM1;3,48;0,58;0,04;0,05;0,23;0,09;0,03;0,00;0,00;0,02
In3;SLC6A11;3,44;0,57;0,08;0,13;0,23;0,13;0,05;0,03;0,05;0,05
In3;EMID1;3,25;0,55;0,03;0,05;0,14;0,01;0,00;0,00;0,00;0,01
In3;SYT2;4,13;0,54;0,02;0,04;0,31;0,02;0,00;0,09;0,03;0,05
In3;AHRR;3,98;0,48;0,01;0,09;0,14;0,00;0,03;0,02;0,00;0,01
In3;SCTR;3,56;0,48;0,01;0,00;0,13;0,00;0,00;0,00;0,00;0,00
In4;FREM1;3,04;0,89;0,08;0,02;0,01;0,49;0,10;0,01;0,00;0,01
In4;TRPC3;3,42;0,88;0,01;0,02;0,00;0,40;0,21;0,01;0,00;0,02
In4;KIT;3,41;0,86;0,05;0,25;0,11;0,76;0,56;0,00;0,00;0,00
In4;MYH11;3,68;0,60;0,01;0,00;0,00;0,45;0,00;0,00;0,00;0,01
In4;ADAMTS2;3,87;0,54;0,01;0,00;0,01;0,11;0,08;0,00;0,00;0,01
In4;PDGFRA;4,15;0,51;0,03;0,00;0,00;0,31;0,13;0,01;0,00;0,01
In5;PDGFD;3,43;0,94;0,01;0,00;0,00;0,04;0,27;0,00;0,00;0,00
In5;TOX;3,04;0,94;0,02;0,00;0,00;0,13;0,47;0,02;0,03;0,06
In5;FREM2;3,15;0,82;0,03;0,00;0,00;0,00;0,31;0,00;0,08;0,01
In5;HCRTR2;3,26;0,77;0,01;0,00;0,00;0,00;0,10;0,00;0,00;0,00
In5;TMEM255A;3,90;0,68;0,01;0,00;0,00;0,00;0,11;0,00;0,02;0,00
In5;MYB;3,92;0,62;0,00;0,00;0,00;0,00;0,35;0,00;0,02;0,01
In5;TXK;4,05;0,59;0,02;0,00;0,00;0,02;0,13;0,00;0,02;0,01
In6;PVALB;3,15;0,65;0,00;0,00;0,03;0,00;0,00;0,26;0,00;0,05
In6;RPH3AL;3,26;0,52;0,01;0,00;0,00;0,02;0,03;0,05;0,00;0,01
In6;ZNF703;3,17;0,48;0,01;0,02;0,00;0,01;0,03;0,25;0,00;0,02
In6;LRRC38;4,34;0,43;0,00;0,00;0,00;0,01;0,00;0,10;0,00;0,00
In7;STK32B;3,40;0,81;0,01;0,05;0,00;0,00;0,02;0,00;0,10;0,01
In7;HPGD;3,71;0,76;0,01;0,00;0,00;0,00;0,00;0,00;0,10;0,01
In7;DSP;3,45;0,60;0,01;0,02;0,00;0,00;0,00;0,00;0,26;0,01
In7;PLD1;3,33;0,55;0,00;0,00;0,01;0,00;0,02;0,02;0,11;0,00
In7;COL24A1;3,00;0,48;0,04;0,00;0,01;0,00;0,02;0,02;0,24;0,03
In7;AOX1;4,95;0,42;0,01;0,00;0,00;0,00;0,00;0,00;0,13;0,01
In8;NMU;3,80;0,48;0,00;0,00;0,01;0,00;0,00;0,02;0,00;0,10
