bb_vertex,1,2,3,4,5,6
522,321.0,518.0,1782.0,410.0,1125.0,1769.0
563,418.0,648.6666666666666,1967.3333333333333,334.0,862.6666666666666,1459.3333333333333
957,367.0,478.0,2283.0,896.0,1463.0,2111.0
1796,371.0,603.0,1686.0,455.0,565.0,1471.0
2967,205.66666666666666,470.3333333333333,1105.6666666666667,404.0,761.0,725.0
3180,228.5,577.0,1264.0,345.5,705.0,753.5
3523,172.5,459.0,1206.5,375.5,788.0,832.5
5013,310.0,519.0,1981.0,346.0,937.0,837.0
5338,279.0,496.0,1714.0,431.0,917.0,1249.0
5393,274.5,538.5,1377.5,564.5,1377.5,1330.0
6188,438.3333333333333,931.3333333333334,2252.0,679.6666666666666,829.3333333333334,851.0
6277,319.0,524.0,1835.0,492.0,1093.0,930.0
6875,253.0,466.0,1066.0,320.0,913.0,1063.0
7146,298.0,457.0,1103.0,595.0,1041.0,1098.0
7315,228.0,365.0,1328.0,320.0,652.0,1079.0
7574,256.25,539.0,1862.0,569.75,948.0,895.75
7584,305.0,392.0,2131.0,63.0,1317.0,2292.0
7648,251.0,444.0,1658.0,360.0,1252.0,638.0
7668,207.66666666666666,385.6666666666667,1603.6666666666667,55.666666666666664,1067.0,1681.6666666666667
7781,285.0,665.0,2182.0,90.0,1616.0,2728.0
7813,326.6666666666667,566.0,2155.0,109.5,1218.0,1766.0
7997,451.0,800.0,2830.0,114.0,1343.0,2694.0
8214,396.0,693.0,2220.0,816.0,1627.0,2466.0
8226,208.0,401.0,1835.0,474.0,919.0,758.0
9109,223.0,499.0,1190.0,376.0,894.0,1285.0
9170,682.0,1011.5,1475.5,457.0,638.5,562.5
9511,227.0,465.0,1042.0,2261.0,498.0,912.0
9517,313.0,634.0,1273.0,596.0,721.0,870.0
11298,253.0,538.0,1920.0,582.0,1666.0,1612.0
11513,205.5,590.5,1595.5,776.5,1004.0,1052.0
11557,245.0,573.0,1625.0,586.0,1197.0,994.0
11576,208.0,535.0,1708.0,252.0,716.0,674.0
11752,243.0,663.0,1596.0,687.0,1281.0,1728.0
11870,357.0,592.0,1665.0,655.0,538.0,584.0
12051,286.0,818.0,1661.0,958.0,1156.0,1518.0
12343,270.0,801.0,1538.0,810.0,995.0,1410.0
12469,264.0,566.0,1275.0,578.0,1165.0,1718.0
12512,238.0,613.0,1432.0,656.0,1230.0,1591.0
12901,230.0,548.0,1524.0,404.0,502.0,816.0
13221,351.0,685.0,1954.0,504.0,954.0,892.0
13480,294.0,296.0,1589.0,3105.0,551.0,1797.0
13605,256.0,399.0,864.0,2877.0,775.0,1310.0
13608,236.0,475.5,1245.5,2510.0,560.25,1555.0
13632,263.0,506.0,1459.0,448.0,792.0,1283.0
13745,285.0,508.0,1119.0,2735.0,390.0,862.0
13762,271.0,509.0,1417.0,552.0,1033.0,1534.0
13883,562.0,928.0,3034.0,1120.0,2376.0,3529.0
13954,359.0,559.0,1370.0,570.0,902.0,1025.0
14292,230.0,444.0,1135.0,457.0,925.0,1137.0
14564,182.5,372.0,864.5,2627.5,499.0,1966.5
14635,192.5,442.5,1506.5,529.5,1389.5,1578.0
14659,171.0,503.0,932.0,419.0,1078.0,899.0
14716,262.0,327.0,1336.0,352.0,666.0,1356.0
15069,228.0,584.0,1385.0,651.0,1037.0,1237.0
15115,200.0,610.0,1399.0,739.0,1258.0,1527.0
15281,225.0,365.0,1554.0,444.0,1047.0,1310.0
16039,269.5,476.0,1620.0,517.5,1034.0,893.0
16062,190.0,399.0,2119.5,425.5,1227.0,1718.0
16082,234.0,441.0,1370.0,468.0,1322.0,1028.0
16107,416.0,814.0,2730.0,571.0,731.0,746.0
16227,248.0,306.0,2160.0,502.0,1555.0,1169.0
16316,257.0,676.0,2963.0,851.0,2032.0,1301.0
16386,252.5,591.5,1545.5,592.0,1282.0,1178.5
16485,297.0,453.0,1956.0,704.0,1311.0,1031.0
16491,250.0,634.0,1277.3333333333333,606.6666666666666,1216.0,1375.3333333333333
16515,305.0,559.0,1836.0,720.0,1035.0,756.0
17669,264.0,603.0,1290.0,595.0,1103.0,1387.0
17887,215.0,499.0,1203.0,400.0,1117.0,1358.0
18168,227.0,490.0,1302.0,486.0,1007.0,1003.0
18303,559.0,1580.0,1423.0,546.0,639.0,656.0
18305,276.0,715.0,1651.0,474.0,700.0,729.0
18470,304.0,463.0,1274.0,376.0,913.0,1162.0
18501,387.0,564.0,1372.0,433.0,1271.0,1135.0
18514,235.0,484.0,1701.0,744.0,804.0,1555.0
18634,221.0,371.5,923.0,289.0,977.0,969.5
18694,275.0,474.0,1626.5,254.5,888.0,1056.0
18962,208.0,486.0,1234.0,351.0,520.0,1008.0
19033,333.0,316.0,2202.0,305.0,751.0,1202.0
19325,214.0,466.0,1167.0,420.5,1122.5,1225.0
19401,265.0,559.0,1060.0,549.0,865.0,1826.0
