parc,1,2,3,4,5,6
L_10d_ROI,396.0,693.0,2220.0,816.0,1627.0,2466.0
L_10pp_ROI,305.5,545.5,1188.0,595.5,881.0,984.0
L_10v_ROI,223.0,499.0,1190.0,376.0,894.0,1285.0
L_44_ROI,321.0,518.0,1782.0,410.0,1125.0,1769.0
L_4_ROI,305.0,392.0,2131.0,63.0,1317.0,2292.0
L_5m_ROI,267.1666666666667,475.8333333333333,1879.3333333333333,77.2,1142.5,1723.8333333333333
L_6mp_ROI,368.0,732.5,2506.0,102.0,1479.5,2711.0
L_6r_ROI,418.0,648.6666666666666,1967.3333333333333,334.0,862.6666666666666,1459.3333333333333
L_6v_ROI,367.0,478.0,2283.0,896.0,1463.0,2111.0
L_7Am_ROI,229.5,422.5,1746.5,417.0,1085.5,698.0
L_8C_ROI,371.0,603.0,1686.0,455.0,565.0,1471.0
L_FST_ROI,200.5,518.0,1235.25,360.5,746.5,793.0
L_PHT_ROI,205.66666666666666,470.3333333333333,1105.6666666666667,404.0,761.0,725.0
L_V1_ROI,227.0,465.0,1042.0,2261.0,498.0,912.0
L_V2_ROI,682.0,1011.5,1475.5,457.0,638.5,562.5
L_V4_ROI,332.375,684.25,2004.875,601.25,921.625,883.25
L_VMV1_ROI,279.0,496.0,1714.0,431.0,917.0,1249.0
L_VMV2_ROI,286.3333333333333,532.0,1578.6666666666667,491.6666666666667,1230.6666666666667,1165.6666666666667
L_a10p_ROI,253.0,466.0,1066.0,320.0,913.0,1063.0
L_p10p_ROI,228.0,365.0,1328.0,320.0,652.0,1079.0
R_10d_ROI,271.0,509.0,1417.0,552.0,1033.0,1534.0
R_10pp_ROI,294.5,501.5,1252.5,513.5,913.5,1081.0
R_10v_ROI,264.0,566.0,1275.0,578.0,1165.0,1718.0
R_44_ROI,265.0,559.0,1060.0,549.0,865.0,1826.0
R_6r_ROI,294.3333333333333,421.3333333333333,1818.3333333333333,271.3333333333333,842.3333333333334,1104.6666666666667
R_7PL_ROI,227.25,573.0,1684.0,680.25,1217.75,1177.5
R_DVT_ROI,238.0,613.0,1432.0,656.0,1230.0,1591.0
R_FFC_ROI,231.375,451.375,1207.5,428.125,1005.0,1183.375
R_MIP_ROI,270.0,801.0,1538.0,810.0,995.0,1410.0
R_MST_ROI,276.0,715.0,1651.0,474.0,700.0,729.0
R_MT_ROI,208.0,486.0,1234.0,351.0,520.0,1008.0
R_POS2_ROI,264.5,740.5,1628.5,822.5,1218.5,1623.0
R_TE2p_ROI,387.0,564.0,1372.0,433.0,1271.0,1135.0
R_TPOJ2_ROI,559.0,1580.0,1423.0,546.0,639.0,656.0
R_V1_ROI,238.22222222222223,427.6666666666667,1142.5555555555557,2668.0,550.5555555555555,1569.111111111111
R_V3A_ROI,281.3333333333333,579.6666666666666,1645.6666666666667,452.0,749.3333333333334,997.0
R_V3_ROI,218.57142857142858,488.57142857142856,1717.7142857142858,508.0,1106.4285714285713,1339.5714285714287
R_V4_ROI,282.27272727272725,598.6363636363636,1701.6363636363637,610.0909090909091,1276.0,1397.5454545454545
R_VMV2_ROI,257.6666666666667,464.3333333333333,1536.6666666666667,501.0,1130.0,938.0
R_VMV3_ROI,301.0,506.0,1896.0,712.0,1173.0,893.5
R_VVC_ROI,260.5,639.5,2126.5,723.0,1567.5,1344.0
R_p10p_ROI,262.0,327.0,1336.0,352.0,666.0,1356.0
