parc,1,2,3,4,5,6
L_10d_ROI,986.8723855319149,2475.051655653974,1723.670568121237,2139.4286073853546,1752.7892491103914,1723.4170692020793
L_10pp_ROI,965.8430183038784,2332.0303853725754,1491.2456974484285,2036.7813148030764,1672.198472034726,1461.7367037628596
L_10v_ROI,747.5954842131741,1950.6281455069893,1549.482949584024,2140.5341052444687,1572.864221594401,1383.382906796999
L_44_ROI,825.1509744324496,2180.9757234876456,1423.482143267247,1857.458730296709,1452.3048562169781,1343.2068018352352
L_4_ROI,904.9440636086666,2061.9149805257193,1340.3718053639875,1488.4972333868232,1301.6441782185116,1276.251517880398
L_5m_ROI,935.0556363026316,2179.7180113527156,1449.6771879162045,1381.5958248803236,1319.0463064219819,1260.7303603766188
L_6mp_ROI,1071.6407661847093,2489.5065010427384,1510.4281101324964,1594.3134321563048,1347.7843378430998,1276.9615383197456
L_6r_ROI,918.5372480146119,2123.570165121088,1439.0424175916132,1467.2190024096042,1331.4945071276998,1359.1448881128345
L_6v_ROI,873.637006501841,2066.533851515976,1463.8015673672915,1834.1285573662856,1415.3839195625612,1384.49414110904
L_7Am_ROI,866.2132736459687,2370.196622800865,1696.6146953835932,2181.8664807374616,1686.6329593203163,1523.37486978863
L_8C_ROI,709.9465351415761,1933.7116510836993,1400.8313593464782,1532.602540162397,1194.0425466153747,1214.7182814585249
L_FST_ROI,739.2461552444149,1978.4540038185087,1471.9906203472974,2225.98597105146,1500.2971303663994,1519.4106218651336
L_PHT_ROI,781.246616654571,1990.7651493595702,1415.5861580557932,2043.5498931721704,1394.404853753647,1434.2897971498403
L_V1_ROI,1079.0685071835896,2967.6093812354948,2586.7017125029683,2795.8799722297767,2270.6131774072564,2051.2961810493803
L_V2_ROI,1201.5252619504295,2798.1903431066326,1874.4655165603413,2558.6083336944193,1751.2955265060623,1727.695781236961
L_V4_ROI,866.5996828311735,2061.178505451128,1628.4101581183993,2405.7239371186824,1598.850494203318,1488.878487393511
L_VMV1_ROI,843.44314122864,1948.8520871976243,1463.4595641917315,2263.0678549523154,1532.5486402965657,1517.9540373787067
L_VMV2_ROI,908.000001104638,1913.9825044943761,1426.8504527288262,2321.4651479263134,1518.5827431025816,1510.73721265591
L_a10p_ROI,1372.8930940899802,2379.4970711457977,1566.401711874291,1810.3883406747764,1715.4163295938556,1502.998219873228
L_p10p_ROI,1068.3876454792237,2151.5432487363596,1477.5846692245775,1909.0526568550556,1568.6795799030372,1511.8292494648742
R_10d_ROI,992.4255454821464,2126.7815369822406,1633.4436344870153,2273.710371853463,1705.670145808585,1625.1772157623386
R_10pp_ROI,1135.122033791733,2405.3125278132834,1721.8941115079547,2074.7407053080206,1713.1542208239866,1518.3038875998163
R_10v_ROI,1027.4303720725745,2341.347739585304,1765.0391938200787,2233.1579402039847,1793.277959141932,1528.786151137374
R_44_ROI,838.5517854676009,2208.2637927140504,1524.4982189618097,2078.69360354457,1666.790009930287,1433.7967326159508
R_6r_ROI,875.7376941312231,2049.9390504112703,1570.3597284897266,2075.9378724314806,1537.4883817135126,1444.4071975435872
R_7PL_ROI,848.5441832062247,2321.237798219244,1630.989949324413,2142.51387475796,1499.0077980239719,1436.4315042216617
R_DVT_ROI,896.9927071053812,2211.0477543933525,1503.9670807652378,2008.145463506414,1556.1878710970366,1476.7749638841037
R_FFC_ROI,973.634935019616,2391.9699185332147,1594.1749558875297,2263.967748171543,1567.0583177018416,1532.625574268527
R_MIP_ROI,1004.6894811802124,2251.089976501965,1613.2999694228258,2041.5517210824476,1499.8087084433105,1530.0526138704017
R_MST_ROI,900.8177430088965,2428.2774608411073,1703.2147081513615,2511.9432401517433,1543.9849963257982,1458.667522725087
R_MT_ROI,770.5604241046027,2308.803508454961,1643.7405487416029,2430.4315476592974,1518.334759053322,1463.3813054671466
R_POS2_ROI,946.9295567108594,2371.9476197380272,1690.8884241894548,2369.1662806500563,1701.9178214863814,1675.4123986791133
R_TE2p_ROI,1170.8128385149018,2081.912554135725,1585.5754240431943,2054.3352092090436,1747.9047876655818,1596.5100431119251
R_TPOJ2_ROI,1051.1082587446824,2114.93093554154,1564.010180354389,2325.6857158944354,1618.2031392571112,1516.698129675378
R_V1_ROI,1027.4426247114693,2774.918459173402,2518.2937410195864,2882.6470487570014,2114.329789881826,2049.580732860881
R_V3A_ROI,992.5252837548318,2501.1825667814537,1613.5564568965608,2190.706178804025,1523.347435462667,1444.8337691255754
R_V3_ROI,921.0476572595038,2608.273173837958,1938.4156155130597,2869.006197631538,1915.2872661430738,1695.269758630508
R_V4_ROI,886.5218555924232,2209.049820269075,1639.1397737672562,2462.03076372098,1613.6356818774643,1539.430688403359
R_VMV2_ROI,1016.1322763437787,2450.750819648924,1778.9131935462456,2745.82012336934,1692.5693383114904,1606.8196291716424
R_VMV3_ROI,988.7830098390003,2118.5095286313644,1711.645547570652,2627.2312962079277,1660.7099243989223,1510.5838086765152
R_VVC_ROI,799.9578791417418,2300.099162990319,1688.7018578459465,2540.7757046215906,1641.4693860417128,1546.8609691732102
R_p10p_ROI,993.7589001516478,2535.489646447728,1746.1211987494519,2128.347437603085,1552.8297648437797,1546.8564683889372
