parc,x,y,z,bb_vertex
L_10d_ROI,-11.308563693193719,74.9000015258789,1.4874497499549761,8214.0
L_10pp_ROI,-10.76936525281053,65.29999923706055,-13.043661665375112,8331.5
L_10v_ROI,-5.378292381414212,65.9000015258789,-15.322159784962423,9109.0
L_44_ROI,-53.60056523044477,29.0,6.384016302152304,522.0
L_4_ROI,-10.580808273574803,-1.2999999523162842,50.26568860345287,7584.0
L_5m_ROI,-9.461354563691808,-4.799999972184499,49.661921736595104,7740.5
L_6mp_ROI,-8.831752448881161,0.5000000111758709,51.513532594632125,7889.0
L_6r_ROI,-53.36881700413263,23.200000127156574,13.451562592662716,563.0
L_6v_ROI,-51.834845069621224,28.399999618530273,8.137937082909048,957.0
L_7Am_ROI,-13.37552102477639,-36.25,41.04556796666293,7937.0
L_8C_ROI,-47.220490707841236,27.200000762939453,16.92229149484774,1796.0
L_FST_ROI,-38.56560772869125,-41.27500057220459,1.6391271553693514,3351.5
L_PHT_ROI,-38.69574608636807,-40.59999974568685,1.6812262177409139,2967.0
L_V1_ROI,-3.5647348487909767,-42.70000076293945,8.278233279153937,9511.0
L_V2_ROI,-5.867744485207368,-44.94999885559082,19.258182060497347,9170.0
L_V4_ROI,-19.084735019705576,-49.41249942779541,5.36401718903744,6892.125
L_VMV1_ROI,-29.399093307903968,-21.700000762939453,-7.247494638082571,5338.0
L_VMV2_ROI,-28.648861082969233,-21.1999994913737,-7.6822719142073765,5266.333333333333
L_a10p_ROI,-18.243888964061625,63.20000076293945,-7.68981648873887,6875.0
L_p10p_ROI,-17.082004198920913,62.900001525878906,-7.910405963979429,7315.0
R_10d_ROI,16.19470255926717,73.4000015258789,1.7204987579825683,13762.0
R_10pp_ROI,16.94179030835221,69.5,-13.18346454424318,14123.0
R_10v_ROI,8.286904970067553,68.0,-18.717924043245148,12469.0
R_44_ROI,48.115159581415355,33.5,16.72091136156814,19401.0
R_6r_ROI,43.70428131466421,29.200000127156574,9.911085862821588,18807.0
R_7PL_ROI,2.0941005070736765,-33.55000019073486,43.49879051930748,11470.25
R_DVT_ROI,6.791539163852576,-41.20000076293945,38.66025692119729,12512.0
R_FFC_ROI,43.26695821648491,-14.012499928474426,-15.599540743191028,18619.625
R_MIP_ROI,3.6817445419728756,-32.20000076293945,44.4910840857774,12343.0
R_MST_ROI,42.9262505400111,-37.900001525878906,7.621568172238767,18305.0
R_MT_ROI,46.31667767476756,-37.29999923706055,9.090263075311668,18962.0
R_POS2_ROI,2.57379147814936,-41.20000076293945,38.62550456129247,11901.5
R_TE2p_ROI,42.64385840302566,-20.799999237060547,-10.619247432448901,18501.0
R_TPOJ2_ROI,42.702506646863185,-33.70000076293945,6.414490102673881,18303.0
R_V1_ROI,15.389866532358509,-63.63333384195963,6.101850035422507,13821.111111111111
R_V3A_ROI,11.627469059934052,-50.5,24.874163326974667,13251.333333333334
R_V3_ROI,18.428966378782725,-55.857142857142854,18.187345777571732,14279.285714285714
R_V4_ROI,26.811032850933273,-40.32727345553312,5.263474485998317,15770.09090909091
R_VMV2_ROI,29.298566198166856,-23.0,-5.887898309990608,16053.333333333334
R_VMV3_ROI,30.832420628590626,-24.100000381469727,-4.144669258079375,16500.0
R_VVC_ROI,34.313424667867366,-21.25,-11.14661115011404,16992.5
R_p10p_ROI,20.970017673040275,73.0999984741211,-3.9438286034564953,14716.0
