parc,1,2,3,4,5,6
L_10d_ROI,35.53535461425781,44.389610290527344,58.23017883300781,49.1593132019043,60.83220672607422,48.63584899902344
L_10pp_ROI,38.557207107543945,49.36660575866699,65.16493797302246,55.27061462402344,62.31523513793945,60.265785217285156
L_10v_ROI,30.587444305419922,45.79358673095703,60.851261138916016,50.47340393066406,61.17897033691406,58.769649505615234
L_44_ROI,34.532711029052734,52.56756591796875,62.71548843383789,52.75853729248047,60.697776794433594,60.30978012084961
L_4_ROI,34.63278579711914,43.67091751098633,55.51525115966797,60.79365158081055,59.370540618896484,53.35034942626953
L_5m_ROI,32.031287829081215,38.88427416483561,52.105857849121094,46.86296768188477,56.286275227864586,51.47843233744303
L_6mp_ROI,32.25191593170166,42.899559020996094,54.212493896484375,47.50204658508301,55.97954750061035,49.09038543701172
L_6r_ROI,36.05490239461263,58.959171295166016,65.2063585917155,60.490196228027344,63.22372563680013,56.921146392822266
L_6v_ROI,37.91825485229492,56.9832649230957,68.44371795654297,64.20088958740234,66.32398986816406,63.9365234375
L_7Am_ROI,31.352789878845215,41.98448181152344,53.079633712768555,43.7946720123291,52.93505859375,46.97581481933594
L_8C_ROI,33.172508239746094,50.09452819824219,61.588375091552734,56.58021926879883,59.58761215209961,49.82324981689453
L_FST_ROI,33.94525909423828,45.48026371002197,53.16249752044678,42.63286876678467,53.602017402648926,48.38111400604248
L_PHT_ROI,35.890750885009766,50.789546966552734,56.86102803548177,48.956461588541664,55.672341664632164,51.809861501057945
L_V1_ROI,34.22026443481445,47.12688064575195,50.585411071777344,41.61963653564453,46.28313064575195,51.1929817199707
L_V2_ROI,32.26347255706787,47.162038803100586,52.93906593322754,41.389469146728516,49.42657470703125,37.12186813354492
L_V4_ROI,33.551843881607056,43.63212585449219,54.94727182388306,43.627840995788574,54.63148498535156,55.61852264404297
L_VMV1_ROI,36.54121780395508,49.54838562011719,56.50583267211914,46.35498809814453,63.947654724121094,61.52842330932617
L_VMV2_ROI,34.206064224243164,51.46328481038412,60.49258931477865,47.614847819010414,64.44982782999675,54.35800043741862
L_a10p_ROI,40.260868072509766,50.81544876098633,66.76454162597656,55.650001525878906,62.65388870239258,63.08842849731445
L_p10p_ROI,39.39912414550781,49.30958938598633,63.27033233642578,54.17499923706055,61.898773193359375,55.21686935424805
R_10d_ROI,33.424354553222656,45.00785827636719,58.72688674926758,45.925724029541016,64.69313049316406,56.550846099853516
R_10pp_ROI,35.329627990722656,45.213518142700195,57.9515380859375,49.9864616394043,61.50800704956055,62.063697814941406
R_10v_ROI,34.602272033691406,47.67314529418945,62.70980453491211,48.69723129272461,69.2703857421875,60.9650764465332
R_44_ROI,36.31320571899414,53.79427719116211,61.60188674926758,54.13843536376953,64.4820785522461,63.578861236572266
R_6r_ROI,36.17314783732096,46.57778294881185,58.09988021850586,51.44716008504232,58.033599853515625,53.47586441040039
R_7PL_ROI,31.4660701751709,45.425575256347656,56.96566104888916,48.869728088378906,59.82329273223877,55.182565689086914
R_DVT_ROI,35.14706039428711,48.30669021606445,56.83030700683594,48.45274353027344,54.71788787841797,49.51225662231445
R_FFC_ROI,35.86909031867981,49.41718673706055,56.818007469177246,47.937676429748535,61.313316345214844,57.46715784072876
R_MIP_ROI,29.344444274902344,45.8127326965332,56.561119079589844,47.36543273925781,58.762813568115234,56.34680938720703
R_MST_ROI,33.989131927490234,48.458740234375,55.08843231201172,45.33333206176758,55.698570251464844,49.06035614013672
R_MT_ROI,31.894229888916016,47.61111068725586,56.76823425292969,45.3874626159668,56.842308044433594,54.72817611694336
R_POS2_ROI,31.942545890808105,45.26188659667969,57.977495193481445,46.016618728637695,57.35416603088379,56.13215446472168
R_TE2p_ROI,37.51421356201172,46.890071868896484,59.89067077636719,48.043880462646484,59.04878234863281,54.60792922973633
R_TPOJ2_ROI,34.77280807495117,47.71329116821289,56.67182159423828,46.379119873046875,54.82942199707031,51.75609588623047
R_V1_ROI,33.103997548421226,46.43875164455838,47.63301340738932,41.184712727864586,46.55056932237413,50.68768861558702
R_V3A_ROI,34.65201950073242,45.52724583943685,56.592718760172524,45.948960622151695,53.88975143432617,50.61384963989258
R_V3_ROI,30.254933220999582,41.72727421351841,49.83150427682059,39.40578242710659,48.37413515363421,46.21407209123884
R_V4_ROI,35.11301404779608,48.52907180786133,56.64630681818182,43.53919185291637,54.92942810058594,53.5755088112571
R_VMV2_ROI,35.50780741373698,48.398616790771484,58.16623306274414,42.8495127360026,57.82163619995117,55.49558130900065
R_VMV3_ROI,36.50973701477051,52.20486831665039,60.179710388183594,43.62919807434082,57.18321990966797,56.27458953857422
R_VVC_ROI,34.911338806152344,48.842254638671875,55.07466506958008,44.00057029724121,57.84573554992676,54.45937156677246
R_p10p_ROI,34.656490325927734,43.58409881591797,58.03742599487305,49.28125,62.33633804321289,59.10324478149414
