parc,1,2,3,4,5,6
7Networks_LH_Cont_PFCl_7,371.0,603.0,1686.0,455.0,565.0,1471.0
7Networks_LH_Default_PFC_11,396.0,693.0,2220.0,816.0,1627.0,2466.0
7Networks_LH_DorsAttn_Post_13,229.5,422.5,1746.5,417.0,1085.5,698.0
7Networks_LH_DorsAttn_Post_3,205.66666666666666,470.3333333333333,1105.6666666666667,404.0,761.0,725.0
7Networks_LH_DorsAttn_PrCv_1,367.0,478.0,2283.0,896.0,1463.0,2111.0
7Networks_LH_DorsAttn_PrCv_2,418.0,648.6666666666666,1967.3333333333333,334.0,862.6666666666666,1459.3333333333333
7Networks_LH_Limbic_OFC_5,263.0,484.2,1192.0,441.4,844.2,1079.0
7Networks_LH_SalVentAttn_FrOperIns_9,321.0,518.0,1782.0,410.0,1125.0,1769.0
7Networks_LH_SomMot_32,267.1666666666667,475.8333333333333,1879.3333333333333,77.2,1142.5,1723.8333333333333
7Networks_LH_SomMot_33,347.0,619.0,2381.0,89.0,1425.3333333333333,2571.3333333333335
7Networks_LH_Vis_10,279.0,496.0,1714.0,431.0,917.0,1249.0
7Networks_LH_Vis_17,172.5,459.0,1206.5,375.5,788.0,832.5
7Networks_LH_Vis_21,227.0,465.0,1042.0,2261.0,498.0,912.0
7Networks_LH_Vis_25,682.0,1011.5,1475.5,457.0,638.5,562.5
7Networks_LH_Vis_27,256.25,539.0,1862.0,569.75,948.0,895.75
7Networks_LH_Vis_4,286.3333333333333,532.0,1578.6666666666667,491.6666666666667,1230.6666666666667,1165.6666666666667
7Networks_LH_Vis_5,408.5,829.5,2147.75,632.75,895.25,870.75
7Networks_LH_Vis_8,228.5,577.0,1264.0,345.5,705.0,753.5
7Networks_RH_Cont_PFCl_3,246.0,385.5,1235.5,404.5,795.5,1246.5
7Networks_RH_Default_PFCdPFCm_5,271.0,509.0,1417.0,552.0,1033.0,1534.0
7Networks_RH_DorsAttn_Post_1,311.0,524.0,1536.5,588.5,1037.5,1345.0
7Networks_RH_DorsAttn_Post_12,231.5,638.75,1588.5,737.25,1050.0,1127.0
7Networks_RH_DorsAttn_Post_15,260.6666666666667,673.0,1725.6666666666667,742.3333333333334,1367.6666666666667,1619.3333333333333
7Networks_RH_DorsAttn_Post_7,238.0,613.0,1432.0,656.0,1230.0,1591.0
7Networks_RH_Limbic_OFC_6,311.5,562.5,1322.5,574.0,1033.5,1371.5
7Networks_RH_SalVentAttn_FrOperIns_8,287.0,455.75,1628.75,340.75,848.0,1285.0
7Networks_RH_Vis_1,236.14285714285714,462.85714285714283,1135.2857142857142,398.57142857142856,1047.4285714285713,1185.142857142857
7Networks_RH_Vis_13,182.5,372.0,864.5,2627.5,499.0,1966.5
7Networks_RH_Vis_15,254.14285714285714,443.57142857142856,1222.0,2679.5714285714284,565.2857142857143,1455.5714285714287
7Networks_RH_Vis_16,347.6666666666667,927.0,1436.0,457.0,619.6666666666666,797.6666666666666
7Networks_RH_Vis_18,190.0,399.0,2119.5,425.5,1227.0,1718.0
7Networks_RH_Vis_21,195.0,498.3333333333333,1470.6666666666667,599.3333333333334,1345.6666666666667,1561.0
7Networks_RH_Vis_25,282.5,563.5,1686.5,453.5,627.0,629.0
7Networks_RH_Vis_26,296.5,595.0,1726.25,658.5,1384.5,1743.75
7Networks_RH_Vis_29,281.3333333333333,579.6666666666666,1645.6666666666667,452.0,749.3333333333334,997.0
7Networks_RH_Vis_3,227.0,490.0,1302.0,486.0,1007.0,1003.0
7Networks_RH_Vis_5,275.0,481.0,1680.4,585.4,1147.2,920.2
7Networks_RH_Vis_6,272.0,610.125,1847.0,616.0,1316.25,1212.375
