parc,1,2,3,4,5,6
7Networks_LH_Cont_PFCl_7,709.9465351415761,1933.7116510836993,1400.8313593464782,1532.602540162397,1194.0425466153747,1214.7182814585249
7Networks_LH_Default_PFC_11,986.8723855319149,2475.051655653974,1723.670568121237,2139.4286073853546,1752.7892491103914,1723.4170692020793
7Networks_LH_DorsAttn_Post_13,866.2132736459687,2370.196622800865,1696.6146953835932,2181.8664807374616,1686.6329593203163,1523.37486978863
7Networks_LH_DorsAttn_Post_3,781.246616654571,1990.7651493595702,1415.5861580557932,2043.5498931721704,1394.404853753647,1434.2897971498403
7Networks_LH_DorsAttn_PrCv_1,873.637006501841,2066.533851515976,1463.8015673672915,1834.1285573662856,1415.3839195625612,1384.49414110904
7Networks_LH_DorsAttn_PrCv_2,918.5372480146119,2123.570165121088,1439.0424175916132,1467.2190024096042,1331.4945071276998,1359.1448881128345
7Networks_LH_Limbic_OFC_5,1024.112452078027,2229.1458472268596,1515.19214511595,1986.7075464760906,1640.2714150321492,1464.336756732164
7Networks_LH_SalVentAttn_FrOperIns_9,825.1509744324496,2180.9757234876456,1423.482143267247,1857.458730296709,1452.3048562169781,1343.2068018352352
7Networks_LH_SomMot_32,935.0556363026316,2179.7180113527156,1449.6771879162045,1381.5958248803236,1319.0463064219819,1260.7303603766188
7Networks_LH_SomMot_33,1016.0751986593618,2346.975994203732,1453.74267520966,1559.0413658998107,1332.404284634904,1276.7248648399632
7Networks_LH_Vis_10,843.44314122864,1948.8520871976243,1463.4595641917315,2263.0678549523154,1532.5486402965657,1517.9540373787067
7Networks_LH_Vis_17,637.827681738628,1882.8689999977973,1433.131648428705,2104.237702820129,1380.0260395422597,1522.7855234830913
7Networks_LH_Vis_21,1079.0685071835896,2967.6093812354948,2586.7017125029683,2795.8799722297767,2270.6131774072564,2051.2961810493803
7Networks_LH_Vis_25,1201.5252619504295,2798.1903431066326,1874.4655165603413,2558.6083336944193,1751.2955265060623,1727.695781236961
7Networks_LH_Vis_27,718.9254810218531,1967.2656275383442,1573.196656182765,2443.6541723025575,1659.7359275553533,1538.6046181807594
7Networks_LH_Vis_4,908.000001104638,1913.9825044943761,1426.8504527288262,2321.4651479263134,1518.5827431025816,1510.73721265591
7Networks_LH_Vis_5,1014.2738846404939,2155.0913833639115,1683.6236600540333,2367.7937019348074,1537.9650608512827,1439.1523566062629
7Networks_LH_Vis_8,840.6646287502017,2074.0390076392196,1510.84959226589,2347.7342392827913,1620.5682211905391,1516.0357202471757
7Networks_RH_Cont_PFCl_3,1106.8292394401062,2490.12469910688,1786.4142216315845,2173.469211484546,1653.9907900695962,1541.6898404473882
7Networks_RH_Default_PFCdPFCm_5,992.4255454821464,2126.7815369822406,1633.4436344870153,2273.710371853463,1705.670145808585,1625.1772157623386
7Networks_RH_DorsAttn_Post_1,960.5409463899036,2004.651330800955,1547.5943627068636,2103.214293677378,1620.608114501828,1532.794298327646
7Networks_RH_DorsAttn_Post_12,904.6887789059773,2311.7852629906147,1624.493528831471,2137.70733017949,1511.5957026860228,1437.1417354994899
7Networks_RH_DorsAttn_Post_15,891.323403934307,2344.2651189641783,1673.687499924501,2266.3701535654805,1617.7642442559566,1626.0121620391055
7Networks_RH_DorsAttn_Post_7,896.9927071053812,2211.0477543933525,1503.9670807652378,2008.145463506414,1556.1878710970366,1476.7749638841037
7Networks_RH_Limbic_OFC_6,1038.887430463738,2353.6065217229193,1691.0600861611354,2082.0241827270092,1732.2172927472461,1514.4353569155837
7Networks_RH_SalVentAttn_FrOperIns_8,866.4412169653175,2089.5202359869654,1558.8943511077473,2076.626805209753,1569.8137887677062,1441.754581311678
7Networks_RH_Vis_1,974.3772361322298,2455.7470643494016,1614.4056978313754,2275.786200144862,1590.875313165343,1534.1655504744165
7Networks_RH_Vis_13,995.1868943165525,2757.594838792258,2511.860329146931,3048.0219392713493,2105.470990939836,2078.685780888477
7Networks_RH_Vis_15,1036.6585476814457,2779.868064996586,2520.1318586974876,2835.397080038616,2116.860875293823,2041.2650048529965
7Networks_RH_Vis_16,907.4954752860605,2284.0039682792026,1636.988479082451,2422.686834568492,1560.174298212077,1479.582319289204
7Networks_RH_Vis_18,831.2538864676171,2566.426551786609,2064.220537203093,3126.7613191823457,1896.8537394367931,1794.6240977838631
7Networks_RH_Vis_21,934.4009290461712,2472.748357397511,1836.6471143441606,2852.4872323693853,1913.0727680889238,1629.218727672487
7Networks_RH_Vis_25,990.8115203713895,2853.4070205499766,1965.263445576375,2636.02952397396,1937.0425399305798,1694.991965914185
7Networks_RH_Vis_26,926.6360413633492,2338.0612826339584,1681.0266543993198,2570.148078896834,1670.5232860121152,1600.0912239663946
7Networks_RH_Vis_29,992.5252837548318,2501.1825667814537,1613.5564568965608,2190.706178804025,1523.347435462667,1444.8337691255754
7Networks_RH_Vis_3,1035.6348049997607,2314.695385422984,1629.4061506014928,2520.284261228306,1576.0134508913643,1658.299734370308
7Networks_RH_Vis_5,1005.1925697418674,2317.8543032418997,1752.0061351560082,2698.384592504775,1679.8255727464632,1568.3253009735915
7Networks_RH_Vis_6,853.4558715391746,2156.3682029169213,1624.671864980377,2424.0198049463647,1585.2315732393713,1502.695258478927
