parc,1,2,3,4,5,6
5,367.0,478.0,2283.0,896.0,1463.0,2111.0
15,418.0,648.6666666666666,1967.3333333333333,334.0,862.6666666666666,1459.3333333333333
34,259.6666666666667,429.3333333333333,1165.6666666666667,411.6666666666667,868.6666666666666,1080.0
56,371.0,603.0,1686.0,455.0,565.0,1471.0
95,313.0,634.0,1273.0,596.0,721.0,870.0
134,227.0,465.0,1042.0,2261.0,498.0,912.0
158,294.5,507.5,1847.5,388.5,927.0,1043.0
160,319.0,524.0,1835.0,492.0,1093.0,930.0
185,192.4,465.8,1146.0,392.6,771.8,768.0
187,228.5,577.0,1264.0,345.5,705.0,753.5
190,274.5,538.5,1377.5,564.5,1377.5,1330.0
191,438.3333333333333,931.3333333333334,2252.0,679.6666666666666,829.3333333333334,851.0
255,229.5,422.5,1746.5,417.0,1085.5,698.0
275,267.1666666666667,475.8333333333333,1879.3333333333333,77.2,1142.5,1723.8333333333333
348,256.25,539.0,1862.0,569.75,948.0,895.75
364,682.0,1011.5,1475.5,457.0,638.5,562.5
377,321.0,518.0,1782.0,410.0,1125.0,1769.0
392,305.0,392.0,2131.0,63.0,1317.0,2292.0
455,368.0,732.5,2506.0,102.0,1479.5,2711.0
487,223.0,499.0,1190.0,376.0,894.0,1285.0
494,396.0,693.0,2220.0,816.0,1627.0,2466.0
532,262.0,327.0,1336.0,352.0,666.0,1356.0
542,230.0,444.0,1135.0,457.0,925.0,1137.0
583,294.3333333333333,421.3333333333333,1818.3333333333333,271.3333333333333,842.3333333333334,1104.6666666666667
603,264.0,566.0,1275.0,578.0,1165.0,1718.0
639,182.5,372.0,864.5,2627.5,499.0,1966.5
649,285.0,508.0,1119.0,2735.0,390.0,862.0
651,208.0,535.0,1708.0,252.0,716.0,674.0
654,230.0,548.0,1524.0,404.0,502.0,816.0
658,307.0,595.5,1706.5,476.0,873.0,1087.5
660,357.0,592.0,1665.0,655.0,538.0,584.0
664,297.25,551.75,1835.0,518.5,1030.25,890.0
668,250.0,634.0,1277.3333333333333,606.6666666666666,1216.0,1375.3333333333333
676,562.0,928.0,3034.0,1120.0,2376.0,3529.0
677,171.0,503.0,932.0,419.0,1078.0,899.0
678,225.0,365.0,1554.0,444.0,1047.0,1310.0
680,228.0,584.0,1385.0,651.0,1037.0,1237.0
684,276.0,715.0,1651.0,474.0,700.0,729.0
692,559.0,1580.0,1423.0,546.0,639.0,656.0
699,251.0,496.3333333333333,1750.3333333333333,562.0,1373.0,1175.3333333333333
702,286.3333333333333,562.6666666666666,2251.6666666666665,758.3333333333334,1459.3333333333333,1029.3333333333333
706,231.0,487.0,1501.5,615.0,905.5,1279.0
722,227.0,660.6666666666666,1576.3333333333333,787.6666666666666,1001.0,1171.3333333333333
765,256.75,648.0,1700.5,703.25,1325.0,1463.0
775,238.0,613.0,1432.0,656.0,1230.0,1591.0
843,387.0,564.0,1372.0,433.0,1271.0,1135.0
852,249.0,432.8333333333333,1239.1666666666667,2670.3333333333335,594.5,1554.5
856,195.0,498.3333333333333,1470.6666666666667,599.3333333333334,1345.6666666666667,1561.0
857,190.0,399.0,2119.5,425.5,1227.0,1718.0
859,234.8,427.6,1090.8,359.0,1022.4,1110.2
928,239.5,551.0,1246.5,497.5,1110.0,1372.5
982,265.0,559.0,1060.0,549.0,865.0,1826.0
989,208.0,486.0,1234.0,351.0,520.0,1008.0
995,359.0,559.0,1370.0,570.0,902.0,1025.0
996,271.0,509.0,1417.0,552.0,1033.0,1534.0
