parc,1,2,3,4,5,6
5,873.637006501841,2066.533851515976,1463.8015673672915,1834.1285573662856,1415.3839195625612,1384.49414110904
15,918.5372480146119,2123.570165121088,1439.0424175916132,1467.2190024096042,1331.4945071276998,1359.1448881128345
34,1153.9150098062435,2330.7901302471105,1488.1112311201298,1897.3879179432236,1626.1204338857895,1466.187620063395
56,709.9465351415761,1933.7116510836993,1400.8313593464782,1532.602540162397,1194.0425466153747,1214.7182814585249
95,911.2217467582303,2202.7306998859763,1562.1440826353357,2100.8398733063136,1750.1315519089762,1539.7380166736373
134,1079.0685071835896,2967.6093812354948,2586.7017125029683,2795.8799722297767,2270.6131774072564,2051.2961810493803
158,844.9446034356929,1899.798293084698,1472.9900161690844,2276.0604866015706,1544.8852869086786,1439.3403668573715
160,1094.9030375836624,2169.091889397011,1580.2874852964906,2264.7803566554358,1465.8668773598838,1427.2939073446455
185,723.8790426881939,1947.6066896148611,1422.6043542049579,2067.825017031354,1388.6533280690921,1469.6880876831406
187,840.6646287502017,2074.0390076392196,1510.84959226589,2347.7342392827913,1620.5682211905391,1516.0357202471757
190,938.7769688355841,1945.6015072556784,1399.0154450200212,2337.671162764057,1499.2631478934763,1585.742470815847
191,987.3975003261044,2150.4245480195445,1718.0690516398809,2402.131483694598,1561.997788681749,1443.1051730268018
255,866.2132736459687,2370.196622800865,1696.6146953835932,2181.8664807374616,1686.6329593203163,1523.37486978863
275,935.0556363026316,2179.7180113527156,1449.6771879162045,1381.5958248803236,1319.0463064219819,1260.7303603766188
348,718.9254810218531,1967.2656275383442,1573.196656182765,2443.6541723025575,1659.7359275553533,1538.6046181807594
364,1201.5252619504295,2798.1903431066326,1874.4655165603413,2558.6083336944193,1751.2955265060623,1727.695781236961
377,825.1509744324496,2180.9757234876456,1423.482143267247,1857.458730296709,1452.3048562169781,1343.2068018352352
392,904.9440636086666,2061.9149805257193,1340.3718053639875,1488.4972333868232,1301.6441782185116,1276.251517880398
455,1071.6407661847093,2489.5065010427384,1510.4281101324964,1594.3134321563048,1347.7843378430998,1276.9615383197456
487,747.5954842131741,1950.6281455069893,1549.482949584024,2140.5341052444687,1572.864221594401,1383.382906796999
494,986.8723855319149,2475.051655653974,1723.670568121237,2139.4286073853546,1752.7892491103914,1723.4170692020793
532,993.7589001516478,2535.489646447728,1746.1211987494519,2128.347437603085,1552.8297648437797,1546.8564683889372
542,1219.8995787285646,2444.7597517660324,1826.7072445137171,2218.5909853660073,1755.1518152954127,1536.5232125058394
583,875.7376941312231,2049.9390504112703,1570.3597284897266,2075.9378724314806,1537.4883817135126,1444.4071975435872
603,1027.4303720725745,2341.347739585304,1765.0391938200787,2233.1579402039847,1793.277959141932,1528.786151137374
639,995.1868943165525,2757.594838792258,2511.860329146931,3048.0219392713493,2105.470990939836,2078.685780888477
649,959.8875415964425,2820.1164373616157,2517.9253105497473,2688.5733788228154,1858.2515862701116,2257.1800731194107
651,855.0474842964029,2772.8486290271903,1985.4249120260895,2477.1417703653638,2011.778103825381,1656.0374574051011
654,888.8272721190584,2538.456839430156,1590.3387961662295,2295.994095913697,1370.8786594882142,1341.0436495533297
658,1044.3742895727187,2482.5454304571026,1625.165287261726,2138.062220249189,1599.5818234498934,1496.7288289116982
660,1126.5755564463761,2933.965412072763,1945.1019791266608,2794.9172775825564,1862.3069760357785,1733.9464744232687
664,1020.7681132344849,2387.92444193914,1778.823590794969,2724.5064092112257,1695.239730451772,1600.4781843193023
668,763.3975687123828,1929.0065477750156,1504.2788404972068,2276.698849266698,1501.0900530527535,1485.542924792142
676,1135.6644808619633,2713.706438116829,1806.3323289802104,2684.4865440111985,1817.4930261545737,1725.631340428397
677,785.7118190829614,2395.8589863727334,1620.9122022557551,2769.432267417933,1687.5840465384958,1688.6710062913091
678,911.4359578574799,1991.271988915025,1635.3992373004153,2274.1150550482134,1498.3244471686344,1423.4249982359988
680,873.7319076509922,2251.4077171312456,1661.4628490608986,2552.5584491099894,1678.6916241867573,1562.6375509098739
684,900.8177430088965,2428.2774608411073,1703.2147081513615,2511.9432401517433,1543.9849963257982,1458.667522725087
692,1051.1082587446824,2114.93093554154,1564.010180354389,2325.6857158944354,1618.2031392571112,1516.698129675378
699,906.7759720065027,2320.2793134297194,1671.6798632699267,2437.0280902688214,1620.459430190924,1498.4300174775535
702,920.005581976046,2180.2205960580354,1704.7450403805933,2614.9583155477762,1645.1243593697218,1503.119002871026
706,892.9519296323331,2121.0427464445847,1569.509725986013,2336.188819687009,1534.6624461147192,1563.6891439568374
722,892.6006930073454,2357.138972358544,1641.6688040950821,2174.171636062555,1532.8721930098934,1474.0581245553665
765,903.7308121011985,2302.129872944841,1648.5075507035351,2206.8562183066833,1575.26474112057,1551.107263612294
775,896.9927071053812,2211.0477543933525,1503.9670807652378,2008.145463506414,1556.1878710970366,1476.7749638841037
843,1170.8128385149018,2081.912554135725,1585.5754240431943,2054.3352092090436,1747.9047876655818,1596.5100431119251
852,1049.4537153622796,2773.1600029357473,2520.499616722111,2859.8676969079165,2159.962423464442,2005.2791601419276
856,934.4009290461712,2472.748357397511,1836.6471143441606,2852.4872323693853,1913.0727680889238,1629.218727672487
857,831.2538864676171,2566.426551786609,2064.220537203093,3126.7613191823457,1896.8537394367931,1794.6240977838631
859,1049.9685010182332,2495.0204094344526,1604.416161818331,2250.5378147706697,1583.0264721900235,1507.7502093591452
928,785.3990739172215,2357.5637016367737,1639.379537863987,2338.907163580342,1610.497415603641,1600.2039032625948
982,838.5517854676009,2208.2637927140504,1524.4982189618097,2078.69360354457,1666.790009930287,1433.7967326159508
